id	name	term_from	term_to	order	created_at	updated_at	status	type	shipment_due_date
54	平坦度測定装置　リファービッシュ品	2024-03-31 15:00:00.000000 +00:00	2025-04-29 15:00:00.000000 +00:00	36	2024-03-25 09:17:30.885534 +00:00	1712645229	Enabled	Prepared	2025-02-13 15:00:00.000000 +00:00
40	BEV生産ライン	2024-02-14 15:00:00.000000 +00:00	2024-09-29 15:00:00.000000 +00:00	26	2024-02-19 02:44:23.101675 +00:00	1712050460	Enabled	Ordered	2024-07-30 15:00:00.000000 +00:00
45	ｶﾊﾞｰAﾌﾞﾛｯｸ組立機＃4	2024-03-17 15:00:00.000000 +00:00	2024-08-27 15:00:00.000000 +00:00	30	2024-03-07 04:28:15.791347 +00:00	1712120364	Enabled	Ordered	2024-08-22 15:00:00.000000 +00:00
42	UXC_タクトシミュレーション	2024-03-10 15:00:00.000000 +00:00	2024-04-25 15:00:00.000000 +00:00	27	2024-03-05 07:32:59.171391 +00:00	1712191245	Finished	Ordered	2024-03-28 15:00:00.000000 +00:00
10	スマホ操作装置2台	2024-01-08 15:00:00.000000 +00:00	2024-02-09 15:00:00.000000 +00:00	0	2023-11-24 02:27:06.244248 +00:00	1711585279	Finished	Ordered	2024-02-02 15:00:00.000000 +00:00
52	ALAPいわき_UXC向け検査工程搬送設備	2024-03-31 15:00:00.000000 +00:00	2024-08-29 15:00:00.000000 +00:00	35	2024-03-25 08:05:30.713392 +00:00	1713162778	Enabled	Prepared	2024-07-08 15:00:00.000000 +00:00
26	"	ｶﾊﾞｰAﾌﾞﾛｯｸ組立機＃1"	2023-12-31 15:00:00.000000 +00:00	2024-05-24 15:00:00.000000 +00:00	2	2023-12-22 00:20:08.597939 +00:00	1711585280	Enabled	Ordered	2024-04-11 15:00:00.000000 +00:00
29	ｶﾊﾞｰAﾌﾞﾛｯｸ組立機＃2	2024-02-09 15:00:00.000000 +00:00	2024-06-02 15:00:00.000000 +00:00	3	2023-12-23 01:35:24.296675 +00:00	1711585280	Enabled	Ordered	2024-05-16 15:00:00.000000 +00:00
14	SEC:ラベル貼り付け機	2023-10-22 15:00:00.000000 +00:00	2024-03-07 15:00:00.000000 +00:00	12	2023-11-24 02:36:31.204947 +00:00	1711585280	Enabled	Ordered	2024-02-29 15:00:00.000000 +00:00
18	JID:振り分けコンベア	2023-10-22 15:00:00.000000 +00:00	2024-07-11 15:00:00.000000 +00:00	14	2023-11-24 02:40:44.984769 +00:00	1711585280	Enabled	Ordered	2024-06-27 15:00:00.000000 +00:00
43	デフォルト工程設備	2024-03-04 15:00:00.000000 +00:00	2024-03-30 15:00:00.000000 +00:00	28	2024-03-05 08:40:57.179715 +00:00	1711585281	Disabled	Prepared	2024-03-30 15:00:00.000000 +00:00
44	MSE802	2024-03-31 15:00:00.000000 +00:00	2025-05-29 15:00:00.000000 +00:00	29	2024-03-07 04:03:36.618260 +00:00	1711585281	Enabled	Prepared	2025-04-29 15:00:00.000000 +00:00
23	JAKA社内デモ機	2023-11-19 15:00:00.000000 +00:00	2024-02-28 15:00:00.000000 +00:00	15	2023-12-18 01:31:54.671950 +00:00	1711585280	Finished	Ordered	2024-02-21 15:00:00.000000 +00:00
55	BPS1,2号自動組立部品移載装置	2024-04-30 15:00:00.000000 +00:00	2024-12-30 15:00:00.000000 +00:00	38	2024-03-28 00:20:35.705193 +00:00	1713421385	Disabled	Prepared	2024-11-29 15:00:00.000000 +00:00
53	ALAPいわき_基盤分割機AVAS	2024-03-31 15:00:00.000000 +00:00	2024-07-19 15:00:00.000000 +00:00	37	2024-03-25 08:32:40.946379 +00:00	1714003141	Enabled	Ordered	2024-07-14 15:00:00.000000 +00:00
9	ケースブロック組立機　#1	2023-11-15 15:00:00.000000 +00:00	2024-02-06 15:00:00.000000 +00:00	16	2023-11-24 02:26:20.919309 +00:00	1711585281	Finished	Ordered	2024-01-30 15:00:00.000000 +00:00
48	インバーターライン	2024-05-31 15:00:00.000000 +00:00	2025-08-30 15:00:00.000000 +00:00	33	2024-03-08 09:48:05.336148 +00:00	1711585282	Enabled	Prepared	2025-07-29 15:00:00.000000 +00:00
49	ALAP角田　感触測定器	2023-03-17 15:00:00.000000 +00:00	2024-07-30 15:00:00.000000 +00:00	34	2024-03-11 08:25:08.672019 +00:00	1711585282	Enabled	Ordered	2024-07-29 15:00:00.000000 +00:00
57	MARS2nd	2024-03-31 15:00:00.000000 +00:00	2024-09-29 15:00:00.000000 +00:00	39	2024-04-05 04:13:20.853082 +00:00	1714003156	Enabled	Ordered	2024-08-18 15:00:00.000000 +00:00
6	カバーブロック組立機　#1	2023-10-10 15:00:00.000000 +00:00	2023-11-29 15:00:00.000000 +00:00	17	2023-11-24 02:24:42.678749 +00:00	1711585281	Finished	Ordered	2023-11-22 15:00:00.000000 +00:00
7	カバーブロック組立機　#2	2023-10-12 15:00:00.000000 +00:00	2023-12-07 15:00:00.000000 +00:00	18	2023-11-24 02:25:11.342671 +00:00	1711585281	Finished	Ordered	2023-11-30 15:00:00.000000 +00:00
33	ｶﾊﾞｰAﾌﾞﾛｯｸ組立機＃3	2024-02-14 15:00:00.000000 +00:00	2024-06-19 15:00:00.000000 +00:00	4	2024-01-24 00:26:49.225495 +00:00	1711585280	Enabled	Ordered	2024-06-16 15:00:00.000000 +00:00
