id	facility_id	unit_id	created_at	updated_at
4	13	4	2023-11-24 02:42:01.504941 +00:00	1700793721
5	14	5	2023-11-24 02:49:26.686183 +00:00	1700794166
6	14	6	2023-11-24 02:49:34.008815 +00:00	1700794174
7	14	7	2023-11-24 02:49:39.421962 +00:00	1700794179
8	14	8	2023-11-24 02:49:46.748890 +00:00	1700794186
9	4	9	2023-11-24 02:50:02.801514 +00:00	1700794202
10	5	10	2023-11-24 02:55:58.150808 +00:00	1700794558
11	15	11	2023-11-24 02:58:58.786895 +00:00	1700794738
12	6	12	2023-11-24 02:59:23.213787 +00:00	1700794763
13	7	13	2023-11-24 04:39:31.407180 +00:00	1700800771
15	9	15	2023-11-24 04:48:45.203283 +00:00	1700801325
16	10	16	2023-11-24 04:59:21.145861 +00:00	1700801961
17	11	17	2023-11-24 05:01:37.744913 +00:00	1700802097
18	12	18	2023-11-24 05:13:12.902818 +00:00	1700802792
19	16	19	2023-11-24 05:23:44.089383 +00:00	1700803424
20	17	20	2023-11-24 05:36:21.205091 +00:00	1700804181
21	18	21	2023-11-24 05:46:57.762177 +00:00	1700804817
22	19	22	2023-11-24 05:49:32.253552 +00:00	1700804972
23	19	23	2023-11-24 05:49:37.097952 +00:00	1700804977
27	23	27	2023-12-18 01:41:14.480857 +00:00	1702863674
28	23	28	2023-12-18 03:17:30.023072 +00:00	1702869450
31	26	31	2023-12-22 00:20:08.602760 +00:00	1703204408
32	27	32	2023-12-23 02:01:28.464619 +00:00	1703296888
33	28	33	2023-12-23 02:02:13.373037 +00:00	1703296933
34	27	34	2023-12-23 02:04:20.314100 +00:00	1703297060
35	28	35	2023-12-23 02:05:51.313371 +00:00	1703297151
36	29	36	2023-12-26 00:24:47.473377 +00:00	1703550287
37	31	37	2024-01-23 00:28:28.054343 +00:00	1705969708
39	33	39	2024-01-24 00:26:49.228999 +00:00	1706056009
40	34	40	2024-01-24 00:31:35.631753 +00:00	1706056295
41	11	41	2024-01-24 00:49:22.475571 +00:00	1706057362
44	37	44	2024-02-12 14:30:36.731522 +00:00	1707748236
45	38	45	2024-02-12 14:32:25.277664 +00:00	1707748345
47	40	47	2024-02-19 02:44:23.107619 +00:00	1708310663
48	41	48	2024-02-25 23:25:42.316870 +00:00	1708903542
49	41	49	2024-02-25 23:26:46.779619 +00:00	1708903606
50	41	50	2024-02-25 23:34:42.891734 +00:00	1708904082
51	40	51	2024-03-05 07:06:43.915681 +00:00	1709622403
52	40	52	2024-03-05 07:07:08.446732 +00:00	1709622428
53	42	53	2024-03-05 07:32:59.188023 +00:00	1709623979
54	43	54	2024-03-05 08:40:57.191703 +00:00	1709628057
55	44	55	2024-03-07 04:03:36.623738 +00:00	1709784216
56	44	56	2024-03-07 04:17:11.888775 +00:00	1709785031
57	45	57	2024-03-07 04:28:15.798149 +00:00	1709785695
58	46	58	2024-03-07 07:04:31.657844 +00:00	1709795071
59	47	59	2024-03-07 08:37:27.131935 +00:00	1709800647
60	48	60	2024-03-08 09:48:05.344224 +00:00	1709891285
61	48	61	2024-03-08 09:48:05.347218 +00:00	1709891285
62	49	62	2024-03-11 08:25:08.681186 +00:00	1710145508
65	52	65	2024-03-25 08:05:30.718208 +00:00	1711353930
66	53	66	2024-03-25 08:32:40.952121 +00:00	1711355560
67	54	67	2024-03-25 09:17:30.890460 +00:00	1711358250
68	55	68	2024-03-28 00:20:35.723749 +00:00	1711585235
70	57	70	2024-04-05 04:13:20.857439 +00:00	1712290400
