id	ticket_id	user_id	order	created_at	updated_at
598	91	6	0	2024-02-28 08:21:19.606298 +00:00	1709108479
430	228	3	0	2024-01-26 05:19:07.480491 +00:00	1706246347
11	51	3	0	2023-11-24 04:43:01.314882 +00:00	1700800981
13	54	9	0	2023-11-24 04:45:01.338580 +00:00	1700801101
14	56	3	0	2023-11-24 04:46:36.423256 +00:00	1700801196
16	59	2	0	2023-11-24 04:52:33.996258 +00:00	1700801553
17	59	7	1	2023-11-24 04:52:33.997834 +00:00	1700801553
431	228	2	1	2024-01-26 05:19:07.482681 +00:00	1706246347
432	234	3	0	2024-01-26 05:19:13.483938 +00:00	1706246353
21	72	16	0	2023-11-24 05:02:09.297917 +00:00	1700802129
608	41	17	0	2024-03-05 10:23:12.637053 +00:00	1709634192
24	44	38	0	2023-11-24 05:20:19.426323 +00:00	1700803219
25	45	37	0	2023-11-24 05:20:23.877665 +00:00	1700803223
26	46	39	0	2023-11-24 05:20:28.622513 +00:00	1700803228
27	101	38	0	2023-11-24 05:25:35.021616 +00:00	1700803535
28	102	37	0	2023-11-24 05:25:37.938927 +00:00	1700803537
29	103	39	0	2023-11-24 05:25:42.662424 +00:00	1700803542
30	114	19	0	2023-11-24 05:43:41.105303 +00:00	1700804621
31	117	38	0	2023-11-24 05:46:25.596749 +00:00	1700804785
32	118	37	0	2023-11-24 05:46:28.261774 +00:00	1700804788
33	119	39	0	2023-11-24 05:46:32.809530 +00:00	1700804792
34	131	39	0	2023-11-24 05:48:03.437628 +00:00	1700804883
35	139	38	0	2023-11-24 05:51:49.037367 +00:00	1700805109
36	140	37	0	2023-11-24 05:51:51.532386 +00:00	1700805111
37	141	39	0	2023-11-24 05:51:53.804766 +00:00	1700805113
38	136	19	0	2023-11-24 05:53:52.539765 +00:00	1700805232
39	149	38	0	2023-11-24 05:55:03.104486 +00:00	1700805303
40	150	37	0	2023-11-24 05:55:05.072042 +00:00	1700805305
46	151	39	0	2023-11-29 02:52:34.093179 +00:00	1701226354
49	53	3	0	2023-11-29 07:22:41.718898 +00:00	1701242561
779	906	7	0	2024-04-12 06:56:02.091559 +00:00	1712904962
436	237	15	0	2024-01-26 05:19:33.210144 +00:00	1706246373
437	237	25	1	2024-01-26 05:19:33.211947 +00:00	1706246373
438	237	2	2	2024-01-26 05:19:33.213697 +00:00	1706246373
439	236	3	0	2024-01-26 05:19:44.891599 +00:00	1706246384
440	238	3	0	2024-01-26 05:19:50.320983 +00:00	1706246390
615	565	20	0	2024-03-11 02:52:47.133157 +00:00	1710125567
780	447	7	0	2024-04-12 06:56:10.998312 +00:00	1712904971
73	187	20	0	2023-12-18 04:28:48.893780 +00:00	1702873728
74	186	20	0	2023-12-18 04:30:02.546604 +00:00	1702873802
76	181	20	0	2023-12-18 04:50:38.334426 +00:00	1702875038
628	233	31	0	2024-03-12 08:32:50.000051 +00:00	1710232370
80	209	5	0	2024-01-19 10:23:33.813099 +00:00	1705659813
629	233	6	1	2024-03-12 08:32:50.000051 +00:00	1710232370
644	324	7	0	2024-03-19 03:49:23.281663 +00:00	1710820163
87	167	25	0	2024-01-19 10:32:28.452127 +00:00	1705660348
88	167	28	1	2024-01-19 10:32:28.453893 +00:00	1705660348
89	167	21	2	2024-01-19 10:32:28.455683 +00:00	1705660348
90	167	4	3	2024-01-19 10:32:28.457344 +00:00	1705660348
93	29	5	0	2024-01-19 10:35:24.975834 +00:00	1705660524
94	29	6	1	2024-01-19 10:35:24.977932 +00:00	1705660524
95	29	8	2	2024-01-19 10:35:24.980460 +00:00	1705660524
645	83	7	0	2024-03-19 03:49:35.867217 +00:00	1710820175
100	32	29	0	2024-01-19 10:36:40.647820 +00:00	1705660600
106	249	39	0	2024-01-23 00:45:55.670164 +00:00	1705970755
108	250	9	0	2024-01-23 00:46:00.647106 +00:00	1705970760
109	250	11	1	2024-01-23 00:46:00.649303 +00:00	1705970760
110	254	11	0	2024-01-23 00:46:04.111679 +00:00	1705970764
111	264	11	0	2024-01-23 00:46:08.041719 +00:00	1705970768
114	197	39	0	2024-01-23 03:54:19.524778 +00:00	1705982059
122	193	32	0	2024-01-24 00:16:21.517833 +00:00	1706055381
123	193	33	1	2024-01-24 00:16:21.519691 +00:00	1706055381
684	528	36	0	2024-03-29 03:59:04.883367 +00:00	1711684744
687	501	36	0	2024-03-29 03:59:09.540360 +00:00	1711684749
133	284	32	0	2024-01-24 00:40:09.008093 +00:00	1706056809
134	283	16	0	2024-01-24 00:40:46.129780 +00:00	1706056846
135	285	29	0	2024-01-24 00:40:53.458122 +00:00	1706056853
139	286	38	0	2024-01-24 00:41:01.105283 +00:00	1706056861
145	300	3	0	2024-01-24 00:41:25.344769 +00:00	1706056885
146	300	9	1	2024-01-24 00:41:25.346971 +00:00	1706056885
