id	gantt_group_id	process_id	department_id	limit_date	estimate	number_of_worker	days_after	start_date	end_date	progress_percent	order	created_at	updated_at	memo
52	13	8	4		120	0		2023-11-16 15:00:00.000000 +00:00	2023-12-07 15:00:00.000000 +00:00	80	2	2023-11-24 04:42:53.726152 +00:00	1703293607	
103	19	16	8		304	1		2023-11-30 15:00:00.000000 +00:00	2024-02-15 15:00:00.000000 +00:00	100	5	2023-11-24 05:24:02.460803 +00:00	1708314083	
81	17	4	2		48	2		2024-02-29 15:00:00.000000 +00:00	2024-03-11 15:00:00.000000 +00:00	100	9	0001-01-01 00:00:00.000000 +00:00	1709941308	
97	11	18			96	5		2024-05-10 15:00:00.000000 +00:00	2024-05-13 15:00:00.000000 +00:00		15	0001-01-01 00:00:00.000000 +00:00	1712901353	
210	34	7	6		40	3		2024-01-21 15:00:00.000000 +00:00	2024-01-25 15:00:00.000000 +00:00	100	2	2023-12-23 02:06:57.981703 +00:00	1709184205	
48	12	8	4		120	0		2023-11-05 15:00:00.000000 +00:00	2023-11-26 15:00:00.000000 +00:00	60	1	2023-11-24 02:59:59.315865 +00:00	1700800683	
115	20	12	5		128	1		2023-12-20 15:00:00.000000 +00:00	2024-01-18 15:00:00.000000 +00:00	100	2	2023-11-24 05:36:37.702562 +00:00	1708418897	
49	12	10	6		8	0		2023-11-21 15:00:00.000000 +00:00	2023-11-21 15:00:00.000000 +00:00		2	2023-11-24 04:37:43.123876 +00:00	1700800694	
66	15	6	6		32	0		2024-01-15 15:00:00.000000 +00:00	2024-01-18 15:00:00.000000 +00:00	100	9	2023-11-24 04:57:06.833153 +00:00	1703293902	
21	4	9	1		16	1		2024-01-24 15:00:00.000000 +00:00	2024-01-25 15:00:00.000000 +00:00	100	8	2023-11-24 02:43:39.754709 +00:00	1706229905	<p>1/26 9時に出荷</p>
79	17	1	1		80	1		2024-02-15 15:00:00.000000 +00:00	2024-02-28 15:00:00.000000 +00:00	100	7	0001-01-01 00:00:00.000000 +00:00	1710123549	<p>納期通り完了できる予定　2.26</p>
89	18	9	1		8	0		2023-11-28 15:00:00.000000 +00:00	2023-11-28 15:00:00.000000 +00:00		2	2023-11-24 05:15:40.091486 +00:00	1700802973	
51	13	7	1		72	1		2023-11-05 15:00:00.000000 +00:00	2023-11-15 15:00:00.000000 +00:00	90	1	2023-11-24 04:41:44.845570 +00:00	1700800981	
67	15	10	1		8	0		2024-01-30 15:00:00.000000 +00:00	2024-01-30 15:00:00.000000 +00:00		10	2023-11-24 04:57:35.944387 +00:00	1700801881	
47	11	2	2		40	2		2024-02-25 15:00:00.000000 +00:00	2024-02-29 15:00:00.000000 +00:00	100	6	0001-01-01 00:00:00.000000 +00:00	1710124836	
37	8	22				4		2024-02-29 15:00:00.000000 +00:00	2024-03-07 15:00:00.000000 +00:00	100	8	0001-01-01 00:00:00.000000 +00:00	1710125092	
686	62	13	4		128	1		2024-04-17 15:00:00.000000 +00:00	2024-05-10 15:00:00.000000 +00:00		2	0001-01-01 00:00:00.000000 +00:00	1712215562	
211	32	3	5		16	1		2024-02-06 15:00:00.000000 +00:00	2024-02-07 15:00:00.000000 +00:00	100	1	2023-12-23 02:07:38.361196 +00:00	1709184232	
