id	facility_id	unit_id	created_at	updated_at
4	13	4	2023-11-24 02:42:01.504941 +00:00	1700793721
5	14	5	2023-11-24 02:49:26.686183 +00:00	1700794166
6	14	6	2023-11-24 02:49:34.008815 +00:00	1700794174
7	14	7	2023-11-24 02:49:39.421962 +00:00	1700794179
8	14	8	2023-11-24 02:49:46.748890 +00:00	1700794186
9	4	9	2023-11-24 02:50:02.801514 +00:00	1700794202
10	5	10	2023-11-24 02:55:58.150808 +00:00	1700794558
11	15	11	2023-11-24 02:58:58.786895 +00:00	1700794738
12	6	12	2023-11-24 02:59:23.213787 +00:00	1700794763
13	7	13	2023-11-24 04:39:31.407180 +00:00	1700800771
14	8	14	2023-11-24 04:44:13.841868 +00:00	1700801053
15	9	15	2023-11-24 04:48:45.203283 +00:00	1700801325
16	10	16	2023-11-24 04:59:21.145861 +00:00	1700801961
17	11	17	2023-11-24 05:01:37.744913 +00:00	1700802097
18	12	18	2023-11-24 05:13:12.902818 +00:00	1700802792
19	16	19	2023-11-24 05:23:44.089383 +00:00	1700803424
20	17	20	2023-11-24 05:36:21.205091 +00:00	1700804181
21	18	21	2023-11-24 05:46:57.762177 +00:00	1700804817
22	19	22	2023-11-24 05:49:32.253552 +00:00	1700804972
23	19	23	2023-11-24 05:49:37.097952 +00:00	1700804977
26	22	26	2023-12-15 01:36:22.296415 +00:00	1702604182
27	23	27	2023-12-18 01:41:14.480857 +00:00	1702863674
28	23	28	2023-12-18 03:17:30.023072 +00:00	1702869450
