id	ticket_id	user_id	order	created_at	updated_at
4	29	5	0	2023-11-24 02:53:14.472801 +00:00	1700794394
5	29	6	1	2023-11-24 02:53:14.474599 +00:00	1700794394
6	29	8	2	2023-11-24 02:53:14.476428 +00:00	1700794394
10	38	4	0	2023-11-24 02:57:28.148673 +00:00	1700794648
11	51	3	0	2023-11-24 04:43:01.314882 +00:00	1700800981
13	54	9	0	2023-11-24 04:45:01.338580 +00:00	1700801101
14	56	3	0	2023-11-24 04:46:36.423256 +00:00	1700801196
16	59	2	0	2023-11-24 04:52:33.996258 +00:00	1700801553
17	59	7	1	2023-11-24 04:52:33.997834 +00:00	1700801553
21	72	16	0	2023-11-24 05:02:09.297917 +00:00	1700802129
22	78	9	0	2023-11-24 05:04:59.128003 +00:00	1700802299
23	81	9	0	2023-11-24 05:07:19.723306 +00:00	1700802439
24	44	38	0	2023-11-24 05:20:19.426323 +00:00	1700803219
25	45	37	0	2023-11-24 05:20:23.877665 +00:00	1700803223
26	46	39	0	2023-11-24 05:20:28.622513 +00:00	1700803228
27	101	38	0	2023-11-24 05:25:35.021616 +00:00	1700803535
28	102	37	0	2023-11-24 05:25:37.938927 +00:00	1700803537
29	103	39	0	2023-11-24 05:25:42.662424 +00:00	1700803542
30	114	19	0	2023-11-24 05:43:41.105303 +00:00	1700804621
31	117	38	0	2023-11-24 05:46:25.596749 +00:00	1700804785
32	118	37	0	2023-11-24 05:46:28.261774 +00:00	1700804788
33	119	39	0	2023-11-24 05:46:32.809530 +00:00	1700804792
34	131	39	0	2023-11-24 05:48:03.437628 +00:00	1700804883
35	139	38	0	2023-11-24 05:51:49.037367 +00:00	1700805109
36	140	37	0	2023-11-24 05:51:51.532386 +00:00	1700805111
37	141	39	0	2023-11-24 05:51:53.804766 +00:00	1700805113
38	136	19	0	2023-11-24 05:53:52.539765 +00:00	1700805232
39	149	38	0	2023-11-24 05:55:03.104486 +00:00	1700805303
40	150	37	0	2023-11-24 05:55:05.072042 +00:00	1700805305
46	151	39	0	2023-11-29 02:52:34.093179 +00:00	1701226354
49	53	3	0	2023-11-29 07:22:41.718898 +00:00	1701242561
52	146	30	0	2023-12-07 06:14:29.967090 +00:00	1701929669
53	156	30	0	2023-12-07 06:14:34.044017 +00:00	1701929674
54	138	30	0	2023-12-07 06:15:01.142285 +00:00	1701929701
69	65	2	0	2023-12-18 01:27:24.249513 +00:00	1702862844
70	65	7	1	2023-12-18 01:27:24.254503 +00:00	1702862844
73	187	20	0	2023-12-18 04:28:48.893780 +00:00	1702873728
74	186	20	0	2023-12-18 04:30:02.546604 +00:00	1702873802
76	181	20	0	2023-12-18 04:50:38.334426 +00:00	1702875038
