id	gantt_group_id	process_id	department_id	limit_date	estimate	number_of_worker	days_after	start_date	end_date	progress_percent	order	created_at	updated_at
59	15	23	1		144	2		2023-11-27 15:00:00.000000 +00:00	2023-12-07 15:00:00.000000 +00:00		2	2023-11-24 04:51:17.718050 +00:00	1700801569
40	10	9	1			0					3	2023-11-24 02:57:10.433053 +00:00	1700794688
38	10	7	1		72	1		2023-11-12 15:00:00.000000 +00:00	2023-11-23 15:00:00.000000 +00:00	90	1	2023-11-24 02:57:06.236401 +00:00	1700794707
39	10	8	6		360	0		2023-11-26 15:00:00.000000 +00:00	2023-12-14 15:00:00.000000 +00:00		2	2023-11-24 02:57:09.608194 +00:00	1700794716
29	8	21	1		24	3		2023-11-26 15:00:00.000000 +00:00	2023-11-26 15:00:00.000000 +00:00		1	2023-11-24 02:52:19.352643 +00:00	1700794421
43	11	13	4		192	0		2023-12-17 15:00:00.000000 +00:00	2024-01-25 15:00:00.000000 +00:00		3	2023-11-24 02:59:21.150993 +00:00	1700803323
45	11	15	8		824	1		2023-09-20 15:00:00.000000 +00:00	2024-02-22 15:00:00.000000 +00:00		5	2023-11-24 02:59:22.670026 +00:00	1700803349
58	15	16			72	0		2023-11-13 15:00:00.000000 +00:00	2023-11-26 15:00:00.000000 +00:00	20	1	2023-11-24 04:48:55.081088 +00:00	1700803113
53	14	1	1		56	1		2023-11-16 15:00:00.000000 +00:00	2023-11-27 15:00:00.000000 +00:00	90	1	2023-11-24 04:44:22.027311 +00:00	1701242561
54	14	4	2		40	1		2023-11-26 15:00:00.000000 +00:00	2023-11-30 15:00:00.000000 +00:00		2	2023-11-24 04:44:43.699709 +00:00	1700801137
48	12	8	4		120	0		2023-11-05 15:00:00.000000 +00:00	2023-11-26 15:00:00.000000 +00:00	60	1	2023-11-24 02:59:59.315865 +00:00	1700800683
66	15	6	6		32	0		2024-01-15 15:00:00.000000 +00:00	2024-01-18 15:00:00.000000 +00:00		9	2023-11-24 04:57:06.833153 +00:00	1700801853
55	14	5	4		32	0		2023-12-03 15:00:00.000000 +00:00	2023-12-06 15:00:00.000000 +00:00		3	2023-11-24 04:45:46.905391 +00:00	1700801177
49	12	10	6		8	0		2023-11-21 15:00:00.000000 +00:00	2023-11-21 15:00:00.000000 +00:00		2	2023-11-24 04:37:43.123876 +00:00	1700800694
61	15	2	2		24	0		2023-12-03 15:00:00.000000 +00:00	2023-12-05 15:00:00.000000 +00:00		4	2023-11-24 04:53:23.511193 +00:00	1700801660
33	9	8	6		528	0		2023-10-24 15:00:00.000000 +00:00	2023-11-26 15:00:00.000000 +00:00	50	1	2023-11-24 02:53:10.925593 +00:00	1700794511
34	9	9	1		24	0		2023-11-27 15:00:00.000000 +00:00	2023-11-29 15:00:00.000000 +00:00	8	2	2023-11-24 02:54:22.737231 +00:00	1700794518
36	8	9	1			0					6	2023-11-24 02:54:34.636136 +00:00	1700794525
37	8	22	1			0					7	2023-11-24 02:54:35.382182 +00:00	1700794526
82	17	5	4		16	0		2024-02-28 15:00:00.000000 +00:00	2024-02-29 15:00:00.000000 +00:00		11	2023-11-24 05:07:47.045237 +00:00	1700802520
56	14	7	1		56	1		2023-12-07 15:00:00.000000 +00:00	2023-12-17 15:00:00.000000 +00:00		4	2023-11-24 04:46:21.358768 +00:00	1700801257
89	18	9	1		8	0		2023-11-28 15:00:00.000000 +00:00	2023-11-28 15:00:00.000000 +00:00		2	2023-11-24 05:15:40.091486 +00:00	1700802973
72	17	11	3		152	1		2023-10-15 15:00:00.000000 +00:00	2023-11-09 15:00:00.000000 +00:00	90	1	2023-11-24 05:01:48.998286 +00:00	1700802154
51	13	7	1		72	1		2023-11-05 15:00:00.000000 +00:00	2023-11-15 15:00:00.000000 +00:00	90	1	2023-11-24 04:41:44.845570 +00:00	1700800981
62	15	3	4		16	0		2023-12-03 15:00:00.000000 +00:00	2023-12-04 15:00:00.000000 +00:00		5	2023-11-24 04:54:24.137136 +00:00	1700801691
67	15	10	1		8	0		2024-01-30 15:00:00.000000 +00:00	2024-01-30 15:00:00.000000 +00:00		10	2023-11-24 04:57:35.944387 +00:00	1700801881
57	14	8	4		64	0		2023-12-18 15:00:00.000000 +00:00	2023-12-27 15:00:00.000000 +00:00		5	2023-11-24 04:47:42.142645 +00:00	1700801287
63	15	4	2		152	0		2023-12-03 15:00:00.000000 +00:00	2023-12-27 15:00:00.000000 +00:00		6	2023-11-24 04:54:54.337129 +00:00	1700801726
52	13	8	4		120	0		2023-11-16 15:00:00.000000 +00:00	2023-12-07 15:00:00.000000 +00:00	20	2	2023-11-24 04:42:53.726152 +00:00	1700801028
87	17	18	1			0					16	2023-11-24 05:11:09.925943 +00:00	1700802681
85	17	20	1		176	0		2024-03-29 15:00:00.000000 +00:00	2024-04-29 15:00:00.000000 +00:00		14	2023-11-24 05:10:23.904190 +00:00	1700802654
68	15	9	1		48	0		2024-02-04 15:00:00.000000 +00:00	2024-02-06 15:00:00.000000 +00:00		11	2023-11-24 04:58:05.134899 +00:00	1700801933
64	15	5	4		40	0		2024-01-08 15:00:00.000000 +00:00	2024-01-14 15:00:00.000000 +00:00		7	2023-11-24 04:55:28.984322 +00:00	1700801769
79	17	1	1		80	0		2024-02-04 15:00:00.000000 +00:00	2024-02-15 15:00:00.000000 +00:00		8	2023-11-24 05:05:58.684335 +00:00	1700802385
73	17	12	5		232	0		2023-11-12 15:00:00.000000 +00:00	2023-12-21 15:00:00.000000 +00:00		2	2023-11-24 05:02:34.947175 +00:00	1700802181
70	16	9	1			0					2	2023-11-24 05:00:24.437326 +00:00	1700802032
81	17	4	2		48	1		2024-02-20 15:00:00.000000 +00:00	2024-02-27 15:00:00.000000 +00:00		10	2023-11-24 05:07:09.290582 +00:00	1700802463
69	16	17	1		8	0		2023-11-28 15:00:00.000000 +00:00	2023-11-28 15:00:00.000000 +00:00		1	2023-11-24 04:59:45.641350 +00:00	1700802051
71	16	18	1			0					3	2023-11-24 05:00:51.165861 +00:00	1700802058
74	17	13	4		160	0		2023-11-30 15:00:00.000000 +00:00	2023-12-27 15:00:00.000000 +00:00		3	2023-11-24 05:03:04.845984 +00:00	1700802215
78	17	2	2			1					7	2023-11-24 05:04:51.499859 +00:00	1700802299
