id	name	facility_id	order	created_at	updated_at
1	ユニット１	1	1	2023-11-23 03:44:37.469200 +00:00	1700711077
2	ユニット１	2	1	2023-11-23 03:53:40.904101 +00:00	1700711620
3	ユニット１のコピー	3	1	2023-11-23 04:04:08.493059 +00:00	1700712248
4	Grow-2nd	13	1	2023-11-24 02:42:01.502771 +00:00	1700793721
5	メイン	14	1	2023-11-24 02:49:26.684061 +00:00	1700794166
6	上流	14	2	2023-11-24 02:49:34.006955 +00:00	1700794174
7	下流	14	3	2023-11-24 02:49:39.420238 +00:00	1700794179
8	全体	14	4	2023-11-24 02:49:46.747098 +00:00	1700794186
9	USW貼り付け装置　#1	4	1	2023-11-24 02:50:02.798456 +00:00	1700794380
10	USW貼付け装置　#2	5	1	2023-11-24 02:55:58.149012 +00:00	1700794558
11	本体	15	1	2023-11-24 02:58:58.785189 +00:00	1700794738
12	カバーブロック組立機　#1	6	1	2023-11-24 02:59:23.211334 +00:00	1700794811
13	カバーブロック組立機　#2	7	1	2023-11-24 04:39:31.405559 +00:00	1700800882
14	カバーブロック組立機　#3	8	1	2023-11-24 04:44:13.839177 +00:00	1700801053
15	ケースブロック組立機　#1	9	1	2023-11-24 04:48:45.201584 +00:00	1700801325
16	スマホ操作装置2台	10	1	2023-11-24 04:59:21.144104 +00:00	1700801961
17	採便管仕分け機	11	1	2023-11-24 05:01:37.743137 +00:00	1700802097
18	組込単品　無錫アルプス向け	12	1	2023-11-24 05:13:12.901214 +00:00	1700802792
19	Grow-HU	16	1	2023-11-24 05:23:44.087267 +00:00	1700803424
20	GF塗布検査装置改造#1(ﾏﾚｰｼｱ)	17	1	2023-11-24 05:36:21.203046 +00:00	1700804181
21	本体	18	1	2023-11-24 05:46:57.760254 +00:00	1700804817
22	line1 2台	19	1	2023-11-24 05:49:32.251683 +00:00	1700804972
23	line2 2台	19	2	2023-11-24 05:49:37.095996 +00:00	1700804977
24	USW貼り付け装置　#1のコピー	20	1	2023-11-24 05:59:40.090538 +00:00	1700805580
25	USW貼り付け装置　#1のコピー	21	1	2023-11-29 02:32:50.511803 +00:00	1701225170
26	本体	22	1	2023-12-15 01:36:22.292975 +00:00	1702604182
27	平坦度測定装置 ワーク投入テスト	23	0	2023-12-18 01:41:14.477381 +00:00	1702870118
28	Facilea 画像プログラムテスト	23	1	2023-12-18 03:17:30.019911 +00:00	1702870118
